"gender,event,medal,athlete,abb,country,type,year"
"Men,Individual W1,Silver,MACCAFERRI Kurt,SUI,Unknown,Archery,1996"
"Men,Individual W1,Bronze,MINAMI Koichi,JPN,Unknown,Archery,1996"
"Men,Individual W2,Gold,LEE Ouk Soo,KOR,Unknown,Archery,1996"
"Men,Individual W2,Silver,WALSTRA Jappie,NED,Unknown,Archery,1996"
"Men,Individual W2,Bronze,WOLF Udo,GER,Unknown,Archery,1996"
"Men,Individual Standing,Gold,OLEJNIK Ryszard,POL,Unknown,Archery,1996"
"Men,Individual Standing,Silver,GARCIA Jean Francois,FRA,Unknown,Archery,1996"
"Men,Individual Standing,Bronze,AN Tae Sung,KOR,Unknown,Archery,1996"
"Women,Individual W2,Gold,SUZUKI Hifumi,JPN,Unknown,Archery,1996"
"Women,Individual W2,Silver,TRUCCOLO Sandra,ITA,Unknown,Archery,1996"
"Women,Individual W2,Bronze,FANTATO Paola,ITA,Unknown,Archery,1996"
"Women,Individual Standing,Gold,OLEJNIK Malgorzata,POL,Unknown,Archery,1996"
"Women,Individual Standing,Silver,CHAPMAN Anita,GBR,Unknown,Archery,1996"
"Women,Individual Standing,Bronze,HYBOIS Marie-Francoise,FRA,Unknown,Archery,1996"
"Men,Teams W1/W2,Gold,NORTMANN Hermann,GER,Germany,Archery,1996"
"Men,Teams W1/W2,Gold,OEHME Mario,GER,Germany,Archery,1996"
"Men,Teams W1/W2,Gold,WOLF Udo,GER,Germany,Archery,1996"
"Men,Teams W1/W2,Silver,GABELLI Giuseppe,ITA,Italy,Archery,1996"
"Men,Teams W1/W2,Silver,MAI Marco,ITA,Italy,Archery,1996"
"Men,Teams W1/W2,Silver,MALOVINI Luciano,ITA,Italy,Archery,1996"
"Men,Teams W1/W2,Bronze,LEE Ouk Soo,KOR,Korea,Archery,1996"
"Men,Teams W1/W2,Bronze,OH Doo,KOR,Korea,Archery,1996"
"Men,Teams W1/W2,Bronze,YOU In,KOR,Korea,Archery,1996"
"Men,Teams Standing,Gold,AN Tae Sung,KOR,Korea,Archery,1996"
"Men,Teams Standing,Gold,CHO Hyeon,KOR,Korea,Archery,1996"
"Men,Teams Standing,Gold,LEE Hak Young,KOR,Korea,Archery,1996"
"Men,Teams Standing,Silver,JONSKI Stanislaw,POL,Poland,Archery,1996"
"Men,Teams Standing,Silver,LEZANSKI Tomasz,POL,Poland,Archery,1996"
"Men,Teams Standing,Silver,OLEJNIK Ryszard,POL,Poland,Archery,1996"
"Men,Teams Standing,Bronze,ISHIDA Mitoya,JPN,Japan,Archery,1996"
"Men,Teams Standing,Bronze,NISHII Kenichi,JPN,Japan,Archery,1996"
"Men,Teams Standing,Bronze,SATO Masao,JPN,Japan,Archery,1996"
"Women,Teams Open,Gold,FANTATO Paola,ITA,Italy,Archery,1996"
"Women,Teams Open,Gold,LAZZARONI Roberta,ITA,Italy,Archery,1996"
"Women,Teams Open,Gold,TRUCCOLO Sandra,ITA,Italy,Archery,1996"
"Women,Teams Open,Silver,MATSUEDA Shigeko,JPN,Japan,Archery,1996"
"Women,Teams Open,Silver,SUZUKI Hifumi,JPN,Japan,Archery,1996"
"Women,Teams Open,Silver,YONEZAWA Masako,JPN,Japan,Archery,1996"
"Women,Teams Open,Bronze,CHAPMAN Anita,GBR,Great Britain,Archery,1996"
"Women,Teams Open,Bronze,GALE Rebecca,GBR,Great Britain,Archery,1996"
"Women,Teams Open,Bronze,SMITH Kathleen,GBR,Great Britain,Archery,1996"
"Men,Individual W1,Gold,SEBEK Zdenek,CZE,Unknown,Archery,2000"
"Men,Individual W1,Silver,HATEM Olivier,FRA,Unknown,Archery,2000"
"Men,Individual W1,Bronze,MILADINOVIC Dejan,FRA,Unknown,Archery,2000"
"Men,Individual W2,Gold,LEE Hong Gu,KOR,Unknown,Archery,2000"
"Men,Individual W2,Silver,JUNG Young Joo,KOR,Unknown,Archery,2000"
"Men,Individual W2,Bronze,DE PELLEGRIN Oscar,ITA,Unknown,Archery,2000"
"Men,Individual Standing,Gold,AN Tae Sung,KOR,Unknown,Archery,2000"
"Men,Individual Standing,Silver,ATAMANENKO Serhiy,UKR,Unknown,Archery,2000"
"Men,Individual Standing,Bronze,LYOCSA Imrich,SVK,Unknown,Archery,2000"
"Women,Individual W1/W2,Gold,FANTATO Paola,ITA,Unknown,Archery,2000"
"Women,Individual W1/W2,Silver,SMITH Kathleen,GBR,Unknown,Archery,2000"
"Women,Individual W1/W2,Bronze,KO Hee Sook,KOR,Unknown,Archery,2000"
"Women,Individual Standing,Gold,CHAPMAN Anita,GBR,Unknown,Archery,2000"
"Women,Individual Standing,Silver,OLEJNIK Malgorzata,POL,Unknown,Archery,2000"
"Women,Individual Standing,Bronze,KORZENIOWSKA Malgorzata,POL,Unknown,Archery,2000"
"Men,Teams Open,Gold,DE PELLEGRIN Oscar,ITA,Italy,Archery,2000"
"Men,Teams Open,Gold,CARRUBBA Salvatore,ITA,Italy,Archery,2000"
"Men,Teams Open,Gold,GABELLI Giuseppe,ITA,Italy,Archery,2000"
"Men,Teams Open,Silver,EST Charles,FRA,France,Archery,2000"
"Men,Teams Open,Silver,HATEM Olivier,FRA,France,Archery,2000"
"Men,Teams Open,Silver,MILADINOVIC Dejan,FRA,France,Archery,2000"
"Men,Teams Open,Bronze,CHO Hyun Kwan,KOR,Korea,Archery,2000"
"Men,Teams Open,Bronze,LEE Hong Gu,KOR,Korea,Archery,2000"
"Men,Teams Open,Bronze,LEE Ouk Soo,KOR,Korea,Archery,2000"
"Women,Teams Open,Gold,FANTATO Paola,ITA,Italy,Archery,2000"
"Women,Teams Open,Gold,MENCONI Anna,ITA,Italy,Archery,2000"
"Women,Teams Open,Gold,TRUCCOLO Sandra,ITA,Italy,Archery,2000"
"Women,Teams Open,Silver,CHAPMAN Anita,GBR,Great Britain,Archery,2000"
"Women,Teams Open,Silver,SMITH Kathleen,GBR,Great Britain,Archery,2000"
"Women,Teams Open,Silver,WHITE Jane,GBR,Great Britain,Archery,2000"
"Women,Teams Open,Bronze,ISOZAKI Naomi,JPN,Japan,Archery,2000"
"Women,Teams Open,Bronze,SUZUKI Hifumi,JPN,Japan,Archery,2000"
"Women,Teams Open,Bronze,YONEZAWA Masako,JPN,Japan,Archery,2000"
"Men,Individual W1,Gold,CAVANAGH John,GBR,Unknown,Archery,2004"
"Men,Individual W1,Silver,GROENBERG Anders,SWE,Unknown,Archery,2004"
"Men,Individual W1,Bronze,FABRY Jeffrey,USA,Unknown,Archery,2004"
"Men,Individual W2,Gold,OEHME Mario,GER,Unknown,Archery,2004"
"Men,Individual W2,Silver,JUNG Young Joo,KOR,Unknown,Archery,2004"
"Men,Individual W2,Bronze,LEE Hong Gu,KOR,Unknown,Archery,2004"
"Men,Individual Standing,Gold,LYOCSA Imrich,SVK,Unknown,Archery,2004"
"Men,Individual Standing,Silver,LEZANSKI Tomasz,POL,Unknown,Archery,2004"
"Men,Individual Standing,Bronze,AN Tae Sung,KOR,Unknown,Archery,2004"
"Women,Individual W1/W2,Gold,FANTATO Paola,ITA,Unknown,Archery,2004"
"Women,Individual W1/W2,Silver,ISOZAKI Naomi,JPN,Unknown,Archery,2004"
